Report Key,Date,Type,Category,Tracking Number,Title,Summary,Region,Attack On,Complex Attack,Reporting Unit,Unit Name,Type of Unit,Friendly WIA,Friendly KIA,Host nation WIA,Host nation KIA,Civilian WIA,Civilian KIA,Enemy WIA,Enemy KIA,Enemy Detained,MGRS,Latitude,Longitude,Originator Group,Updated by Group,Ccir,Sigact:,Affiliation,D Color,Classification
16A5F4B6-F8FD-4497-A0A9-AB738AE8BC65,3/18/2004 0:00,Enemy Action,Direct Fire,2007-033-004045-0147,DIRECT FIRE CF Other 2 CF KIA 2 CF WIA,SIGACT remarks change classification of SIGACT - Contact FDO for additional information.,RC SOUTH,ENEMY,FALSE,OTHER,OTHER,None Selected,2,2,0,0,0,0,0,6,140,41SQS3153150192,32.96554947,65.47721863,UNKNOWN,UNKNOWN,,,ENEMY,RED,SECRET
24ACB67C-D72A-4E45-90C3-A977331C4E43,10/8/2005 1:52,Detainee Operations,Other,2007-033-011226-0724,DET OPNS  Qalat,"TF Bayonet reported suspicious activity IVO Qalat.  At 0152Z, TF Rock reported there were 79 males sleeping in a mosque. TF Rock went to the site with a MIT and started questioning the PAX. 1541Z Update: TF Rock reported no significant findings from the questioning and all PAX are gone from the site, none detained at this time.",RC SOUTH,UNKNOWN,FALSE,TF BAYONET,TF BAYONET,None Selected,0,0,0,0,0,0,0,0,79,42STB8721002160,32.53641891,66.73415375,UNKNOWN,UNKNOWN,"DBC - The apprehension, movement and release of detainees or Persons Under Control (PUCs).",DBC GLOBAL,UNKNOWN,GREEN,SECRET
C85972AC-3D3D-4F3A-BB65-B8086D3B75D4,4/7/2007 4:00,Other,Other,2007-113-181339-0107,231829zAPR TF 3 FURY REPORTS POSSIBLE IED EMPLACERS ENTERED INTO HIIDE SYSTEM (MOD),"On 23 APR 07, 2/546 MPs were headed to ANP compund in Terwa (50m SW of FB Terwa) to conduct ANP assessments. Upon their arrival, they found 54 PAX on the back of a jingle truck being brought to Salerno.  ANP accused these PAX of coming from Pakistan and emplacing IEDs in Afghanistan.  It was discovered, that all 54 PAX were from the same tribe.  2/546 MPs were able to input 28 out of the 54 into the HIIDE system",RC EAST,NEUTRAL,FALSE,TF 3FURY (4-73),4-73 CAV / SHARONA,None Selected,0,0,0,0,0,0,0,0,54,42RVA4230021900,31.83131027,68.39025116,UNKNOWN,UNKNOWN,,,NEUTRAL,GREEN,SECRET
DC0AA060-F593-4AD3-A65D-A524E983F10B,9/9/2005 2:41,Friendly Action,Direct Fire,2007-033-004146-0988,DIRECT FIRE  FOB Gereshk,"CJSOTF reports TIC 31km NE of Geresk. A CJSOTF element reports receiving small arms and RPG fire while conducting a planned operation. The patrol is engaging the enemy with heavy weapons and is in pursuit. At 0514Z CJSOTF reported that 28x individuals have been detained, one of those is EWIA. Unit is engaging 8-10 enemy combatants in a field to the west at 0525Z.  At 0549Z CJSOTF requests a MEDEVAC for the EWIA.  PT is a LN (PUC), listed as urgent surgery and suffers from a GSW to the chest.  There is enemy present in the area.  PZ is a hilltop and will be marked with panels.  CJTF76 approves MEDEVAC 09-09C at 0612Z.  PT will be taken to KAF. MEDEVAC W/U at 0630Z from KAF.  W/D at 0740Z.  1x UH-60 and 1x AH-60 were engaged by 3-4 ACM on infill IVO 41S PR 7035 4341.  The AH-64 engaged the ACM with 30mm and the ACM did not return fire.  Both A/C received minor damage.  At 100525ZSEP05 CJSOTF reports 26x EKIA, 3x EWIA, and 48x detainees.  No friendly casualties.  There have been 3x separate contacts in the day and one rocket fired.  CJSOTF reestablished contact with the ACM element IVO 41S PR 695 425 at 100340ZSEP05.  All units RTB at 1028Z.  NFTR.",RC SOUTH,FRIEND,FALSE,CJSOTF-A,CJSOTF-A,None Selected,0,0,0,0,0,0,3,26,48,41SPR6842,32.00164032,64.77851868,UNKNOWN,UNKNOWN,"DBC - Direct or indirect fire engagement directed at Coalition Forces, or executed by coalition forces.  Ordnance release by coalition aircraft.",DBC GLOBAL,FRIEND,BLUE,SECRET
2A3703AD-51B4-4D2E-BFC3-354C02F4EBC3,3/6/2006 6:00,Detainee Operations,Detained,2007-033-010138-0295,DET OPNS,CJSOTF reported at 0600Z 48X PAX had been detained in the Khod Valley.,RC WEST,UNKNOWN,FALSE,CJSOTF-A,CJSOTF-A,None Selected,0,0,0,0,0,0,0,0,48,41SNS9400099000,33.42625046,64.01112366,UNKNOWN,UNKNOWN,"DBC - The apprehension, movement and release of detainees or Persons Under Control (PUCs).",DBC GLOBAL,UNKNOWN,GREEN,SECRET
8835FFED-4DC4-4D4C-A8DE-8E5C7022D0AF,9/4/2005 1:43,Friendly Action,Direct Fire,2007-033-004145-0754,DIRECT FIRE  Deh Rawod,CJSOTF reports TIC 42km S of Deh Rawod at 0142Z.  While conducting an offensive operation a CJSOTF element received small arms fire from 5x ACM.  AH-64s engaged 4x groups of 1-2 ACM.  A CJSOTF element reestablished contact with ACM IVO 41S QR 274 688 at 0331Z.  A CJSOTF element engaged ACM at the entrance of a cave.  At 0542Z CJSOTF reports the cave complex clear.  At 0634Z 5x ACM moved into a cave complex IVO 42S QR 07480 70509.  CJSOTF reports 1x EKIA and 3x EWIA.  A 43x PAX element engaged a blocking position with small arms fire and were detained.  The 43x PAX claim to be ANP.  CJSOTF reports 15-20 ACM are suspected KIA.  A substantial cache was discovered in a cave.,RC SOUTH,FRIEND,FALSE,CJSOTF-A,CJSOTF-A,None Selected,0,0,0,0,0,0,3,1,43,41SQR2658070280,32.24634933,65.404953,UNKNOWN,UNKNOWN,"DBC - Direct or indirect fire engagement directed at Coalition Forces, or executed by coalition forces.  Ordnance release by coalition aircraft.",DBC GLOBAL,FRIEND,BLUE,SECRET
0F0A0890-8933-4E2E-A41D-DEB0EE8755E9,5/17/2006 14:23,Enemy Action,Direct Fire,2007-033-004248-0923,DIRECT FIRE CF ANA Kandahar 1 CF KIA 3 ANA WIA,"TF Aegis reported a TIC 41KM from KAF.  At 1425Z TF Aegis reported unit was receiving SAF and hearing unknown explosions.  CAS is on station in support of the TIC. During the TIC ORION 32 received small arms fire and RPG and sustained 1x KIA (CANMIL). CAS has done a show of force and is now in direct support of TIC at 41R QQ 30790 93400. At 1555 QRF AH-64 and HH-60 launched ISO of ORION 32. At 1605Z, ORION 32 reports 3x ANA are WIA and are being ground evac&amp;apos;&amp;apos;d to KAF. SITREP as of 1641z, CAS dropped 1x 500lb bomb and FS fired 5x 155mm rounds. BDA will be done at first light.  OPRION will take up defensive positions tonight and will continue operation tomorrow.  BDA assessment will be conducted at first light. At 1654z, ORION 31 is receiving small arms fire and RPGs from both sides of the road.  ORION 31 is returning fire and has pushed forward ISO OP BRAVO SQUADRON. At 1745z, ORION 31 has linked up with the rest of the ORION assets and declares ORION 31 declares their portion of the TIC over. 26x enemy have been captured. Confirmed reports indicate 18 x enemy were KIA during the engagement. [UPDATED ON 05/17/2006 1820]: [UPDATED ON 05/18/2006 0105]: [UPDATED ON 05/18/2006 2156]:TF ORION elements returned to PANJWAYi at 180400zMay06 to search 1x compound as part of OP BRAVE GUARDIAN. Search was not completed due to enemy contact on 17 May 06. NSTR from search of compound. Patrol RTB at 1500z. NFTR.",RC SOUTH,ENEMY,FALSE,TF AEGIS,TF AEGIS,Coalition,0,1,3,0,0,0,0,18,35,41RQQ2920096200,31.57806969,65.41520691,UNKNOWN,A SIGACTS MANAGER,,,ENEMY,RED,SECRET
7EBF3295-246E-4946-8C85-568753249A3D,9/18/2006 6:20,Detainee Operations,Released,2007-033-011053-0002,DET OPNS  Bagram,"At 0735Z, TF Guardian reported releasing 35x detainees to GOA.",RC EAST,UNKNOWN,FALSE,TF GUARDIAN,TF GUARDIAN,None Selected,0,0,0,0,0,0,0,0,35,42SVD8962967930,34.95383835,68.88641357,UNKNOWN,UNKNOWN,,,UNKNOWN,GREEN,SECRET
7D4173A3-FD9E-4CA9-BE56-7B23FEE950B1,3/11/2008 1:30,Friendly Action,Raid,2008-071-071125-0953,11 0130Z RC WEST OFFENSIVE ENGAGEMENT IVO FSB HERAT,"At 0130Z, RC-West reported that several insurgents, Gulam Yahya, Mullah Sanging and Haffizullah, were suspected of meeting at house located at 41S MT 252 885, Ghaslambaf village, Guzara District, Herat.  ABP reported that there were 2 x separate weapons caches of Iranian mines and assorted small arms and ammunition at the site. BDA: 3 x ACM KIA.  30 x INS arrested, 3 of them unnamed High Value Targets.  ABP and PMT returned to garrison.  

ISAF Tracking # 03-256",RC WEST,FRIEND,FALSE,CJTF-82,CJTF-82,None Selected,0,0,0,0,0,0,0,3,30,41SMT2519988500,34.23490143,62.18777084,UNKNOWN,UNKNOWN,,,FRIEND,BLUE,SECRET
1030891A-3F5D-4D52-8180-D0411A6ECE4F,7/12/2005 10:48,Friendly Action,Direct Fire,2007-033-004133-0220,DIRECT FIRE  Deh Chopan,"TF Bayonet reported 1X UH, and 1X AH received small arms fire &amp;amp;amp; RPG fire 9km SE of FOB Bushmaster at 1039Z during the insertion of planned operation.  A/Cs were in enroute to Baylogh to pick up troops and received fire from ACM of unknown size.  There was no damage to A/C or injuries to personnel.  Update at 1154Z: 8X EKIA and 11X detained.  Chosen is continuing to clear the area ATT.  Update at 1254Z: Chosen recovered a cache from a local mosque; 13X RPG rounds, 14X RPG boosters, and 100X RPK link rounds.  As of 1533Z TF Bayonet reported  a total of 14X EKIA, 6X detainees, and 23X Suspected ACM being questioned.  130134JUL05Z Update:  While clearing the area, Chosen 16 engaged and killed 3X ACM.  The ACM had in their possession an RPG and a launcher.  As of 130944ZJUL05 all TF Bayonet elements have exfilled from the TIC location.  The 23X detainees were extracted to FOB Laghman for further questioning.",RC SOUTH,FRIEND,FALSE,TF GRIFFIN,TF GRIFFIN,None Selected,0,0,0,0,0,0,1,17,28,42STA699905,32.4278717,66.55281067,UNKNOWN,UNKNOWN,"DBC - The employment, or change in status of any Quick Reaction Force (QRF) or designated DA Force.",DBC GLOBAL,FRIEND,BLUE,SECRET
